frame,master,center_lon,center_lat
002A_05136_020502,20190301, -27.7265000, 38.7630000
002D_09442_131110,20200717, 137.5833333, -4.5137222
002D_09458_161110,20200611, 137.5275000, -4.7629445
003A_10373_131313,20200723, -66.2652778, -13.7301667
003A_10572_131313,20200723, -65.7701111, -15.7176667
003A_10771_131313,20200723, -65.2791667, -17.7070556
003A_10970_131313,20200723, -64.7702778, -19.6938334
003A_11173_141313,20200723, -64.2464444, -21.7091111
003A_11372_131313,20200723, -63.7037778, -23.7166667
003D_08492_130701,20200810, 115.0506667, 5.5689444
003D_09757_111111,20170311, 112.2592222, -7.5873889
004A_07083_151212,20200810, -73.2829444, 19.2852778
004D_03924_131313,20200909, 100.1866111, 50.7436666
004D_04122_131313,20181213, 99.6350556, 48.7642222
004D_04320_131313,20181213, 99.1088889, 46.7822222
004D_04518_131313,20181213, 98.6124445, 44.7973889
004D_04916_131313,20181125, 97.6961111, 40.8193889
004D_05115_131313,20181125, 97.2321667, 38.8317778
004D_05314_131313,20181125, 96.7702222, 36.8442222
004D_05513_131313,20181125, 96.3283333, 34.8532778
004D_05712_131313,20181125, 95.8902778, 32.8625555
004D_05911_131313,20181125, 95.4837222, 30.8671666
004D_06111_131313,20181125, 95.0751667, 28.8717778
004D_06311_131313,20181125, 94.6710000, 26.8756111
004D_06511_131313,20160924, 94.3320026, 25.0995560
004D_06907_131312,20160924, 93.4814989, 20.9108348
004D_07072_090600,20160924, 93.5074977, 19.2108331
005A_07021_131313,20190501, -98.0620556, 19.8011666
005A_07270_182021,20200612, -97.5511111, 17.2481666
005D_04603_131313,20181126, 73.7747778, 43.9508889
005D_04801_131313,20200413, 73.2871111, 41.9652778
005D_05000_131313,20181126, 72.8057778, 39.9797778
005D_05199_131313,20181126, 72.3432778, 37.9920555
005D_05398_131313,20181126, 71.9041111, 36.0015000
005D_05597_131313,20181126, 71.4821111, 34.0085000
005D_05797_131313,20181126, 71.0630000, 32.0149444
005D_05996_131313,20181126, 70.6436667, 30.0212778
005D_06196_131313,20181126, 70.2353333, 28.0261111
005D_06395_131313,20181126, 69.8262778, 26.0302222
005D_06595_131313,20181126, 69.4178333, 24.0340555
006A_03658_131313,20190507,-130.5047778, 53.4151111
006D_04865_111625,20200730, 48.5703889, 41.7302778
006D_05111_131313,20181126, 47.8735000, 38.8624444
006D_05310_131313,20181126, 47.4280556, 36.8723333
006D_05509_131313,20181126, 46.9893889, 34.8813333
006D_05713_141313,20171219, 46.5594445, 32.8337778
006D_07529_131313,20161218, 42.8470000, 14.6946111
006D_07662_000004,20200718, 41.7780000, 13.3752778
006D_07728_131313,20181126, 42.4557778, 12.6963333
006D_07929_131313,20181114, 42.0476667, 10.6972222
006D_08129_131313,20181126, 41.6372222, 8.6994444
006D_08328_131313,20181126, 41.2270556, 6.7006666
006D_08529_131313,20181126, 40.8275000, 4.6986111
006D_11164_081313,20191227, 34.7902778, -21.5825556
007A_02698_131313,20200525,-158.6542359, 63.0134322
007A_02892_131312,20200501,-157.8353263, 61.0729651
007A_03087_131313,20200501,-157.0894132, 59.1322631
007A_03294_131613,20200501,-156.3207778, 56.9429444
007D_04098_131313,20181126, 25.7015556, 48.9981667
007D_04296_131313,20181126, 25.1722778, 47.0165000
007D_04494_131313,20181126, 24.6644445, 45.0327222
007D_04692_131313,20181126, 24.1725000, 43.0478333
007D_04892_131313,20181126, 23.6981111, 41.0615555
007D_05096_101313,20201010, 23.2374444, 39.0729444
007D_05293_151310,20160901, 22.7544437, 36.9181129
007D_05457_030000,20181126, 23.3134445, 35.4130000
007D_07097_131313,20170306, 19.0441111, 19.0141111
008A_12731_060000,20191115, 176.2581111, -37.3004445
008A_12835_201207,20201016, 177.2976111, -38.2290000
008A_12836_151207,20191115, 177.4300000, -38.6082222
009D_02423_131316,20170405, -17.5921944, 65.6371389
009D_02597_080910,20170306, -18.6027500, 63.9135278
010D_11455_131313,20190107, -64.8397778, -24.5597778
010D_11652_131313,20200724, -65.3863889, -26.5425000
010D_12244_131313,20190928, -67.2050555, -32.4651111
010D_12441_131313,20190823, -67.8787778, -34.4275000
010D_12637_131313,20170306, -68.5517222, -36.3927222
010D_12833_131313,20190624, -69.2827778, -38.3501667
010D_13416_131313,20170306, -71.7139444, -44.1902778
010D_13610_131313,20170306, -72.6218333, -46.1241667
010D_13802_131313,20170306, -73.6002222, -48.0511111
010D_13986_131310,20170306, -74.1315000, -49.9387222
011A_04903_171717,20201022, 109.2944445, 40.9692222
011A_05533_131313,20160925, 110.7176681, 34.6683334
011A_05732_131313,20201022, 111.1570000, 32.6770000
011A_05932_131313,20200425, 111.5817778, 30.6838889
011A_06132_131313,20201010, 111.9932778, 28.6887778
011D_06470_131006,20191227, -78.4118333, 25.3476666
011D_06867_060602,20191227, -79.2590555, 21.2437222
011D_08160_131211,20170324, -81.8452778, 8.3652222
012A_04449_131313,20160901, 83.5036657, 45.5065009
012A_05046_131313,20160901, 84.9521683, 39.5458358
012A_05244_131313,20160901, 85.4277225, 37.5615012
012A_05443_131313,20160901, 85.9056635, 35.5747245
012A_05642_131313,20160901, 86.3397759, 33.5827798
012A_05841_131313,20160901, 86.7692229, 31.5909997
012A_06041_131313,20160901, 87.1834455, 29.5976113
012A_06241_131313,20160901, 87.5761085, 27.5961130
012A_06441_131313,20160901, 87.9311118, 25.6812230
012D_06936_131313,20170312,-104.0795555, 20.6201111
012D_07075_080504,20170312,-104.3856111, 19.0957778
013A_05000_131313,20160901, 60.1547778, 39.9992227
013A_05199_131313,20160901, 60.6120535, 38.0125019
013A_05398_131313,20160901, 61.0752207, 36.0481673
013A_05597_131313,20160901, 60.8922770, 34.9963339
013A_05797_131313,20160913, 61.9138883, 32.0352792
013A_05996_131313,20160913, 62.3331665, 30.0433339
013A_06196_131313,20160913, 62.7561645, 28.0490007
013A_06392_121313,20160913, 63.1642770, 26.2028351
013D_03885_131313,20170306,-121.8592778, 51.1306666
013D_04083_131313,20170306,-122.4044444, 49.1501111
013D_04889_131300,20191227,-123.8070000, 41.0995555
014A_04821_040400,20160901, 34.5838338, 41.8028322
014A_04939_131313,20160901, 35.3282778, 40.6164444
014A_05138_131313,20160901, 35.7908305, 38.6298908
014A_05334_121313,20160901, 36.2413329, 36.6380561
014A_05540_151414,20160901, 36.6633873, 34.6462809
014A_07524_101303,20161218, 40.6882222, 15.1033889
014A_07659_000004,20200724, 41.8375000, 13.4244444
014A_07688_131313,20180816, 41.0843889, 13.1324444
014A_07884_121313,20180816, 41.4781111, 11.1608333
014A_08068_141313,20190507, 41.8589444, 9.3256667
014D_02786_131213,20200904,-142.8345000, 62.1401667
