frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time
002A_05136_020502,20190301.0000,-27.7265,38.7630,-9.9183,13.9600,2.3296,39.4824,879186.7902,19:49:33.608528
002D_09442_131110,20200717.0000,137.5833,-4.5137,-167.6992,14.0544,2.3296,39.6631,879535.0597,20:30:06.470154
002D_09458_161110,20200611.0000,137.5275,-4.7629,-167.6804,14.0544,2.3296,39.6584,879535.0597,20:30:08.608632
003A_10373_131313,20200723.0000,-66.2653,-13.7302,-13.0860,14.0611,2.3296,39.4803,880640.9953,22:52:02.958336
003A_10572_131313,20200723.0000,-65.7701,-15.7177,-13.2851,14.0698,2.3296,39.4135,880640.9953,22:51:29.860795
003A_10771_131313,20200723.0000,-65.2792,-17.7071,-13.4907,14.0714,2.3296,39.3428,880640.9953,22:50:56.764284
003A_10970_131313,20200723.0000,-64.7703,-19.6938,-13.7095,14.0715,2.3296,39.2684,880640.9953,22:50:23.664687
003A_11173_141313,20200723.0000,-64.2464,-21.7091,-13.9413,14.0681,2.3296,39.1893,880640.9953,22:49:50.093342
003A_11372_131313,20200723.0000,-63.7038,-23.7167,-14.1890,14.0674,2.3296,39.1071,880640.9953,22:49:16.581609
003D_08492_130701,20200810.0000,115.0507,5.5689,-168.4026,14.0358,2.3296,39.7047,878282.7538,22:06:05.513579
003D_09757_111111,20170311.0000,112.2592,-7.5874,-167.4614,14.0542,2.3296,33.7567,878283.9186,22:09:16.641109
004A_07083_151212,20200810.0000,-73.2829,19.2853,-10.8172,14.0093,2.3296,39.7386,878814.2266,23:01:53.077581
004D_03924_131313,20200909.0000,100.1866,50.7437,-169.8994,13.9282,2.3296,39.4318,881646.0349,23:31:39.742432
004D_04122_131313,20181213.0000,99.6351,48.7642,-169.9571,13.9341,2.3296,39.4747,881643.7053,23:31:59.594536
004D_04320_131313,20181213.0000,99.1089,46.7822,-169.9904,13.9389,2.3296,39.5237,881643.7053,23:32:32.699271
004D_04518_131313,20181213.0000,98.6124,44.7974,-169.9966,13.9415,2.3296,39.5720,881643.7053,23:33:05.797838
004D_04916_131313,20181125.0000,97.6961,40.8194,-169.9447,13.9512,2.3296,39.4054,878830.8664,23:34:54.450891
004D_05115_131313,20181125.0000,97.2322,38.8318,-169.9171,13.9619,2.3296,39.4505,878829.7016,23:35:27.549458
004D_05314_131313,20181125.0000,96.7702,36.8442,-169.8838,13.9687,2.3296,39.4939,878829.7016,23:36:00.654192
004D_05513_131313,20181125.0000,96.3283,34.8533,-169.8334,13.9692,2.3296,39.5352,878830.8664,23:36:33.764066
004D_05712_131313,20181125.0000,95.8903,32.8626,-169.7771,13.9801,2.3296,39.5740,878829.7016,23:37:06.863661
004D_05911_131313,20181125.0000,95.4837,30.8672,-169.6993,13.9842,2.3296,39.6102,878830.8664,23:37:39.957090
004D_06111_131313,20181125.0000,95.0752,28.8718,-169.6196,13.9891,2.3296,39.6434,878830.8664,23:38:13.052573
004D_06311_131313,20181125.0000,94.6710,26.8756,-169.5349,13.9880,2.3296,39.6734,878830.8664,23:38:46.151142
004D_06511_131313,20160924.0000,94.3320,25.0996,-169.4477,13.9924,2.3296,33.8520,878077.2531,23:39:03.632050
004D_06907_131312,20160924.0000,93.4815,20.9108,-169.2562,14.0014,2.3296,33.9163,878077.2531,23:40:13.065657
004D_07072_090600,20160924.0000,93.5075,19.2108,-169.0561,14.0055,2.3296,33.9319,851180.1302,23:40:40.164057
005A_06821_131313,20210420.0000,-98.4759,21.7971,-10.6945,14.0072,2.3296,39.6885,878319.1947,0:41:18.883142
