frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,slope_plates_vel_azi_itrf2014,slope_daz_mm_mmyear,daz_mm_RMSE_selection,daz_mm_count_selection,intercept_daz_mm_mmyear,daz_mm_RMSE_mmy_full,daz_mm_notide_RMSE_selection,daz_mm_notide_count_selection,slope_daz_mm_notide_mmyear,intercept_daz_mm_notide_mmyear,daz_mm_notide_RMSE_mmy_full,daz_mm_notide_noiono_grad_RMSE_selection,daz_mm_notide_noiono_grad_count_selection,slope_daz_mm_notide_noiono_grad_mmyear,intercept_daz_mm_notide_noiono_grad_mmyear,daz_mm_notide_noiono_grad_RMSE_mmy_full
002A_05136_020502,20190301,-27.7265,38.763,-9.9183,13.96,2.3296,39.4824,879186.7902,19:49:33.608528,A,5.161855894072597,1.8273907436977204,21.476008223915372,62,12.51055811348022,5.528846091564245,23.234753703285158,71,3.4129486047640367,24.97298571711873,5.174744036548882,23.8795074397752,72,1.844343365456733,44.20075758970077,5.14303561897114
004D_04122_131313,20181213,99.6351,48.7642,-169.9571,13.9341,2.3296,39.4747,881643.7053,23:31:59.594536,B,0.3958390055339639,-4.343000217430356,37.044850268107794,26,-95.60935284007758,15.851217790062934,36.10045073140684,27,-5.193820410838422,-187.7533986942628,14.795913640904285,35.46808963080645,27,-5.319415206514841,-187.61764603312636,14.609601219113047
004D_04320_131313,20181213,99.1089,46.7822,-169.9904,13.9389,2.3296,39.5237,881643.7053,23:32:32.699271,B,0.2006979354198505,-8.171076257629517,65.75051613230562,25,-21.770184975119427,62.20445716565228,58.71415102719188,24,-8.183067939463065,-61.39246033458534,62.30844290304207,58.9681231738045,24,-8.20408707786753,-61.87020847854248,62.0359831021604
004D_04518_131313,20181213,98.6124,44.7974,-169.9966,13.9415,2.3296,39.572,881643.7053,23:33:05.797838,B,0.0273043052799771,1.3997908282458733,26.32515751474324,49,-96.86725522144036,6.526282646742542,21.055820810561208,44,3.182288615329062,-176.61104608340978,6.065133979368786,20.48457241553248,43,3.7027842981781074,-178.1490963434279,6.035142030228003
004D_04916_131313,20181125,97.6961,40.8194,-169.9447,13.9512,2.3296,39.4054,878830.8664,23:34:54.450891,A,-0.3073305334222512,1.0545008500097646,21.928738573153154,88,-9.416255025132742,2.934346670887725,19.238362340033007,89,1.1935227149501433,-19.032102240171383,2.806314913715169,18.939389063444985,87,2.026987596047888,-23.463868870947223,2.783839138908492
004D_05115_131313,20181125,97.2322,38.8318,-169.9171,13.9619,2.3296,39.4505,878829.7016,23:35:27.549458,A,-0.4498948624867943,-1.571033135573586,23.734699272278437,97,-8.149658372191158,1.9244059112577152,20.0160417903178,97,-0.8148086898741771,-27.91023668551301,1.6799585888059358,20.423569996714377,97,-0.4873695052078739,-30.082064599954272,1.7020986594287584
004D_05314_131313,20181125,96.7702,36.8442,-169.8838,13.9687,2.3296,39.4939,878829.7016,23:36:00.654192,A,-0.6206149855037141,-2.986650344361101,19.508363499251384,85,1.2829144445576477,1.9503737710726976,18.008894055393085,81,-2.0833677066467478,-16.477250044413843,2.0099224677651324,18.16028198273229,81,-1.8995158332795117,-17.21195173744446,2.0019498400811258
004D_05513_131313,20181125,96.3283,34.8533,-169.8334,13.9692,2.3296,39.5352,878830.8664,23:36:33.764066,A,-0.7628561296777363,-4.552432758962046,29.00557876500552,84,3.626434305123445,3.834571779332255,23.21800961779292,82,-4.7883025199744,-15.28000232450953,3.659106648574316,23.747257479788463,84,-4.463288065991878,-15.506407783301473,3.66765323919318
004D_05712_131313,20181125,95.8903,32.8626,-169.7771,13.9801,2.3296,39.574,878829.7016,23:37:06.863661,A,-0.9317673550059454,0.2847419114667401,23.184184655170466,86,-18.435156690044664,4.681920893803454,22.3558653897462,90,-0.6260089225371341,-36.96956243000934,4.680489013624917,22.62575910084016,92,-0.7856407590009231,-34.01172160675897,4.665940105298715
004D_05911_131313,20181125,95.4837,30.8672,-169.6993,13.9842,2.3296,39.6102,878830.8664,23:37:39.957090,A,-1.0747949189748724,2.122235244066927,23.829048623563292,71,-21.311901508249697,3.802608382089485,21.274137987978413,69,1.5842818937072498,-41.21566365065417,3.648682065956639,21.68697210963925,71,1.7998001821568046,-38.85215831390698,3.617812590732445
004D_06111_131313,20181125,95.0752,28.8718,-169.6196,13.9891,2.3296,39.6434,878830.8664,23:38:13.052573,A,-1.214137996585048,-5.5046521383345,20.45590674400719,46,19.657731915449013,4.547429788464132,20.525061275672947,50,-5.869485185294787,3.5789263358798333,4.178793664380832,21.60175799981722,50,-6.356699656535943,10.027495191296817,4.271965068375667
004D_06311_131313,20181125,94.671,26.8756,-169.5349,13.988,2.3296,39.6734,878830.8664,23:38:46.151142,A,-24.38503089629125,-7.266010935229806,23.44458237169013,28,47.53919755143825,11.41579641339042,26.75287819536283,30,-8.86525131213874,60.82909716054554,11.216790053416725,26.567630882281733,30,-8.923987237231838,65.95415371207369,11.185140126710149
005A_07021_131313,20190501,-98.0621,19.8012,-10.7864,14.0117,2.3296,39.7052,878319.1947,0:40:34.002742,A,-2.056633068994681,-4.322319012048888,24.65005193265667,61,31.078824044155745,15.454374045096596,18.847311255186344,55,-6.012038748958305,52.51728582581247,15.28193126719346,18.87115582317077,57,-5.868961063912914,25.85588046063572,14.372326654967132
005D_05000_131313,20181126,72.8058,39.9798,-169.942,13.958,2.3296,39.4482,879151.6803,1:13:53.038835,A,-7.407444811761673,-10.847558919243566,17.86232931130879,79,36.981726764961394,2.4524306841233563,14.831070601530143,72,-9.732020129553751,25.77627307890836,2.232162677281502,14.18644288184936,71,-8.423127403523395,20.174091053836428,2.2196318263092416
005D_05199_131313,20181126,72.3433,37.9921,-169.9113,13.9644,2.3296,39.4921,879151.6803,1:14:26.140487,A,-7.547368054447072,-21.18177505921029,21.90306219287956,66,101.30092461177657,2.761300759286688,20.160235263446424,68,-20.99475840256722,106.82281106433352,2.49450770926178,20.352741491230983,70,-20.193161541448152,102.75628090120314,2.515320888364525
005D_05398_131313,20181126,71.9041,36.0015,-169.8615,13.9704,2.3296,39.5341,879151.6803,1:14:59.243166,A,-7.718334934880323,-29.49310522355604,20.531066843992544,85,148.64972272361786,2.261892116219596,16.71726157335421,82,-28.241222639304517,171.4788101812739,1.886626690808325,15.800446551283295,80,-27.79185251332952,169.68652518256113,1.893001436117053
005D_05597_131313,20181126,71.4821,34.0085,-169.7978,13.9709,2.3296,39.5739,879151.6803,1:15:32.343788,A,-23.9429615413934,-28.518559063394516,16.396649694116547,71,131.02280916177642,2.2205301576019125,16.037221518008188,74,-27.71567479563289,135.8617413776727,1.8521848919525972,15.154648904929664,73,-27.292382772372147,134.37463079856994,1.8697409988055065
005D_05797_131313,20181126,71.063,32.0149,-169.7297,13.9724,2.3296,39.6112,879151.6803,1:16:05.441328,A,-38.93060937431581,-29.62407051003689,16.994231392174598,74,142.2066814272029,2.419891314868136,16.223624908210095,77,-27.998024110276983,140.5835942346248,2.1597874004936632,15.063973816414952,75,-28.01523007849084,142.2028430212312,2.152273604855531
