,frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,opass,s1ab_offset_mm_prepost,s1ab_offset_mm,s1ab_offset_mm2,vel2,podoff,s1ab_offset_mm3,vel3,podoff3,s1ab_offset_mm_ok,count
27,005A_07021_131313,2019-05-01,-98.0621,19.8012,-10.7864,14.0117,2.3296,39.7052,878319.1947,0:40:34.002742,A,A,-15.839906224293188,26.322578762526305,26.43038339654131,14.094781732643396,49.025688122709866,26.43038339654131,14.094781732643396,49.025688122709866,26.322578762526305,90
33,005D_05797_131313,2018-11-26,71.063,32.0149,-169.7297,13.9724,2.3296,39.6112,879151.6803,1:16:05.441328,A,D,,19.970031440280664,17.91645900621901,-26.779806600140585,47.835848358831385,31.399413474923787,-44.831777522507096,20.711979517578566,26.124459450721506,118
34,005D_05996_131313,2018-11-26,70.6437,30.0213,-169.6584,13.9794,2.3296,39.6457,879151.6803,1:16:38.537840,A,D,,23.79604770490678,23.82001663043822,-36.80197662826598,38.89996165586935,39.62843645918516,-58.23184537809226,6.898129712263897,30.439908699033634,115
35,005D_06196_131313,2018-11-26,70.2353,28.0261,-169.5783,13.9832,2.3296,39.6771,879151.6803,1:17:11.632297,A,D,,-11.488074244414753,-37.63208596306632,50.17434706898437,162.8389064605501,35.484411902452266,-44.74898251215392,16.954353063973873,29.727988970188566,108
36,005D_06395_131313,2018-11-26,69.8263,26.0302,-169.495,13.987,2.3296,39.7052,879151.6803,1:17:44.732920,A,D,,-31.489182274944103,-74.36718679957617,0.21487531434813326,189.53612969388325,33.69307568318899,-142.0120749475901,-25.997475081270334,13.606573981679563,97
46,006D_07929_131313,2018-11-14,42.0477,10.6972,-168.7144,14.0246,2.3296,39.6456,877716.3374,3:00:43.746546,A,D,-10.845998784688376,50.621003206004815,50.59457140197308,-32.40676157309335,39.359370088590566,49.930137022871385,-22.6509550957584,48.23649181747177,50.61285082634403,108
47,006D_08129_131313,2018-11-26,41.6372,8.6994,-168.5974,14.0298,2.3296,39.6369,877716.3374,3:01:16.425598,A,D,,57.40020718192453,63.89023805710566,-32.49909535755409,-2.423797446979491,60.2829092800189,-27.77489295979749,6.650234392695928,55.35804863588759,157
48,006D_08328_131313,2018-11-26,41.2271,6.7007,-168.4752,14.0319,2.3296,39.6231,877716.3374,3:01:49.526221,A,D,,40.3138952837479,31.943748715200968,4.779993092677079,88.59704786403951,39.19546606729006,-49.02084196003304,15.92597473775934,35.5273554117383,143
112,014A_05138_131313,2016-09-01,35.7908,38.6299,-10.0995,13.9638,2.3296,39.4904,879171.6481,15:34:16.052653,A,A,23.916181435316233,23.565364519822435,23.12970773596792,7.19794487382693,13.021488812050862,23.12970773596792,7.19794487382693,13.021488812050862,23.565364519822435,115
133,016A_02562_091313,2019-11-03,-21.356,64.2691,-11.4987,13.9024,2.3296,39.1858,882341.5757,18:58:31.975029,B,A,-27.591349786261784,25.873570568373676,25.411429960990947,92.41985851138121,91.51820643031876,25.411429960990947,92.41985851138121,91.51820643031876,25.873570568373676,100
189,021D_04423_131313,2016-09-02,39.2662,45.7431,-169.9461,13.938,2.3296,33.5937,879865.6912,3:31:57.213291,A,D,11.996014977069514,53.510567843405425,54.01215994770386,-17.623838837002495,30.53210074250244,54.34766839858661,-12.296208841828967,37.61642186383977,54.31229597782434,189
190,021D_04564_090603,2016-09-02,38.8517,44.1472,-169.9616,13.9415,2.3296,33.6373,879865.6912,3:32:23.821438,A,D,-18.192551177273074,65.8982606666748,64.21736132244435,6.019749077341888,55.808081869494856,52.951455850358066,-18.993023730076914,39.20746986008732,52.95407076211188,95
194,021D_05566_131313,2016-09-02,36.5929,34.3128,-169.7986,13.9688,2.3296,33.9175,879868.0207,3:35:07.529026,A,D,18.47944208204563,52.60658177257252,54.75163077073866,-37.81454286499674,22.604158196403393,53.09717984518028,-38.10653981121456,23.71387587687725,51.60493266152929,113
205,023A_13470_171714,2020-03-27,170.1039,-44.7166,-18.4495,14.0656,2.3296,38.6902,886330.4517,7:38:07.359974,B,A,-30.185445244190944,13.300619323687473,2.682245557805685,32.207374103915264,69.18544524419114,24.60652683791385,30.051819135006973,64.38829739121863,30.186988687442767,92
232,027A_05393_131313,2016-09-02,75.4977,36.0807,-10.1258,13.9728,2.3296,33.8045,879233.7143,12:57:12.997166,A,A,,-46.36137299898952,36.001950206195865,87.73333122411375,156.5230681632715,28.801217187874535,14.675894142390367,54.60367499567761,21.24480110428379,99
233,027A_05591_131313,2016-09-02,75.9294,34.0878,-10.184,13.9748,2.3296,33.8759,879233.7143,12:56:39.894487,A,A,,-69.88656671080503,38.929332002545316,110.56483228311764,195.68750594925072,25.834543320450432,12.66980022771757,57.164680027914,15.888276810708055,101
264,032D_07536_111313,2017-03-01,121.025,14.6626,-168.9344,14.0158,2.3296,33.9528,877767.5878,21:46:40.417106,A,D,,46.67555438979761,63.4681613463333,-13.902137702917495,-21.85670528622927,64.3936785469306,-14.87625958047103,-23.831953824280564,45.71724248334135,172
329,039A_09931_061510,2019-05-03,123.9645,-8.7608,-12.6563,14.0574,2.3296,39.4612,878899.5886,10:08:34.506382,A,A,,-181.11555663461104,-182.5476641634201,65.11301088673747,-111.68649328886256,8.184743076114684,152.3822667763523,31.12765996962417,10.018320283214466,110
384,043A_04559_030813,2016-09-03,38.6134,43.9989,-10.0605,13.9469,2.3296,33.5982,879150.5156,15:19:18.245096,A,A,,39.246433077462505,39.627672978933816,28.401348381059652,27.540530711175386,39.627672978933816,28.401348381059652,27.540530711175386,39.246433077462505,101
386,043A_05008_161514,2020-06-14,39.6066,39.9414,-10.0745,13.9599,2.3296,39.4947,879557.0242,15:18:31.130856,A,A,,45.39718937400854,45.86489571283944,39.936928574094885,92.5151488415423,41.62163152081307,18.24702201537328,43.98664893294522,41.51851531978606,173
390,043A_05822_131313,2016-09-03,41.4007,31.7871,-10.2859,13.9821,2.3296,33.9394,879150.5156,15:15:55.043077,A,A,,54.77667111305752,52.56365545448402,40.940349201322576,88.24482546449475,54.085255258991225,29.44482936403072,72.23193293668163,55.33010676646449,148
448,049A_07091_051113,2019-05-04,-104.0464,18.8292,-10.8369,14.0073,2.3296,39.688,878003.0399,1:04:59.121587,A,A,,47.13059678930102,52.508311238309965,-32.43680266427789,-38.78024897445613,52.508311238309965,-32.43680266427789,-38.78024897445613,47.13059678930102,100
463,050D_05046_141313,2016-09-04,41.8377,39.4738,-169.9309,13.9559,2.3296,33.7998,880142.5762,3:17:14.494514,A,D,35.356960195239516,43.40476211290686,47.53687015730866,-33.979480943779215,8.045274565403663,45.20299934812167,-32.78903870261962,11.484681221125012,43.141219896375496,167
479,051D_05177_000715,2016-09-04,16.3364,37.9769,-170.1937,13.926,2.3296,39.2448,903593.1144,4:56:25.055586,A,D,-49.34391405096545,25.046704002636282,21.219910981512616,28.907042382952927,95.25495868282565,22.40698200017973,-11.67866878996077,56.917204591404165,22.675090701059844,123
547,058A_08540_131313,2019-05-04,36.6608,4.6112,-11.6574,14.0393,2.3296,39.6834,878361.6261,15:49:44.945948,A,A,,41.947305246686646,41.94730524668664,44.11181720064381,-101.1693880961629,24.082518805402348,23.271817160053782,-59.714612881992224,24.08251880540235,160
555,060A_00001_030604,2020-03-11,-17.5031,28.2238,-10.415,13.9857,2.3296,39.6011,878308.8782,19:13:49.862712,A,A,-42.283634351726164,21.447206158773398,21.4537042014059,-24.19457789795342,44.366986930855425,21.4537042014059,-24.19457789795342,44.366986930855425,21.447206158773398,106
568,061D_07906_131313,2017-02-07,124.375,10.924,-168.7273,14.0238,2.3296,33.9399,877687.2179,21:31:15.380674,A,D,,15.028413343881246,12.996644478250095,27.44832088930347,141.56557221672932,14.835970621122751,-80.96586519461044,-39.19383670397542,13.45055057524031,231
587,062D_06031_131313,2016-09-16,103.4774,29.6702,-169.6463,13.9788,2.3296,33.9061,879061.3266,23:04:52.702397,A,D,,10.606939928248455,40.28505903086425,23.515613238127692,85.37738477205482,40.06438577861389,10.082129007380841,62.004799443233615,30.832811447384458,113
589,062D_06430_131313,2016-09-16,102.6438,25.6817,-169.4888,13.9928,2.3296,33.9923,879061.3266,23:05:58.900560,A,D,,32.470023838042934,26.13248493356528,8.799516044968646,25.709517227731954,29.117002743535497,16.926104020645603,39.88847034141608,28.772769840217027,133
605,063D_05860_131313,2016-09-17,79.1262,31.3786,-169.7246,13.9824,2.3296,33.9033,879347.3636,0:43:08.990646,A,D,,58.96044341845547,64.53625735660299,-7.70574823774104,20.703374718805417,71.34367265059512,-21.890563934008775,-4.3851620176045545,58.47984604599691,121
