,frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,opass,s1ab_offset_mm4,vel4,podoff4
14,004D_04518_131313,2018-12-13,98.6124,44.7974,-169.9966,13.9415,2.3296,39.572,881643.7053,23:33:05.797838,B,D,-97.76180072174402,11.520867573899611,6.539702009524936
18,004D_05513_131313,2018-11-25,96.3283,34.8533,-169.8334,13.9692,2.3296,39.5352,878830.8664,23:36:33.764066,A,D,-173.63889007226754,-13.443395750528826,2.126430459395129
19,004D_05712_131313,2018-11-25,95.8903,32.8626,-169.7771,13.9801,2.3296,39.574,878829.7016,23:37:06.863661,A,D,-159.15791316137756,23.73429507434607,65.36448141608221
20,004D_05911_131313,2018-11-25,95.4837,30.8672,-169.6993,13.9842,2.3296,39.6102,878830.8664,23:37:39.957090,A,D,-298.2799412881506,15.411033469253658,46.259496596928294
21,004D_06111_131313,2018-11-25,95.0752,28.8718,-169.6196,13.9891,2.3296,39.6434,878830.8664,23:38:13.052573,A,D,-253.09222403578096,25.499789106571768,68.80122956170979
22,004D_06311_131313,2018-11-25,94.671,26.8756,-169.5349,13.988,2.3296,39.6734,878830.8664,23:38:46.151142,A,D,88.6094080580439,-26.90446423237952,32.75368531115028
27,005A_07021_131313,2019-05-01,-98.0621,19.8012,-10.7864,14.0117,2.3296,39.7052,878319.1947,0:40:34.002742,A,A,26.43038339654131,14.094781732643396,49.025688122709866
29,005D_05000_131313,2018-11-26,72.8058,39.9798,-169.942,13.958,2.3296,39.4482,879151.6803,1:13:53.038835,A,D,0.0,-15.888401895487997,25.5492313494207
33,005D_05797_131313,2018-11-26,71.063,32.0149,-169.7297,13.9724,2.3296,39.6112,879151.6803,1:16:05.441328,A,D,31.399413474923787,-44.831777522507096,20.711979517578566
34,005D_05996_131313,2018-11-26,70.6437,30.0213,-169.6584,13.9794,2.3296,39.6457,879151.6803,1:16:38.537840,A,D,39.62843645918516,-58.23184537809226,6.898129712263897
35,005D_06196_131313,2018-11-26,70.2353,28.0261,-169.5783,13.9832,2.3296,39.6771,879151.6803,1:17:11.632297,A,D,35.484411902452266,-44.74898251215392,16.954353063973873
36,005D_06395_131313,2018-11-26,69.8263,26.0302,-169.495,13.987,2.3296,39.7052,879151.6803,1:17:44.732920,A,D,33.69307568318899,-142.0120749475901,-25.997475081270334
37,005D_06595_131313,2018-11-26,69.4178,24.0341,-169.4081,13.9942,2.3296,39.7298,879151.6803,1:18:17.832515,A,D,0.0,34.47563985508397,-50.759711300304055
38,006A_03658_131313,2019-05-07,-130.5048,53.4151,-10.2318,13.9258,2.3296,39.3495,881317.7331,2:27:56.178070,B,A,-215.86847198203245,50.70164413572038,69.08330417452271
42,006D_05509_131313,2018-11-26,46.9894,34.8813,-169.8211,13.9674,2.3296,39.5844,879536.8901,2:54:02.447483,A,D,75.71410055180868,5.284318816377849,82.13394803656516
43,006D_05713_141313,2017-12-19,46.5594,32.8338,-169.7525,13.9736,2.3296,39.5615,878872.6913,2:53:47.250359,B,D,47.545771272254534,-31.913498033494978,32.505004009634504
46,006D_07929_131313,2018-11-14,42.0477,10.6972,-168.7144,14.0246,2.3296,39.6456,877716.3374,3:00:43.746546,A,D,49.930137022871385,-22.6509550957584,48.23649181747177
47,006D_08129_131313,2018-11-26,41.6372,8.6994,-168.5974,14.0298,2.3296,39.6369,877716.3374,3:01:16.425598,A,D,60.2829092800189,-27.77489295979749,6.650234392695928
48,006D_08328_131313,2018-11-26,41.2271,6.7007,-168.4752,14.0319,2.3296,39.6231,877716.3374,3:01:49.526221,A,D,39.19546606729006,-49.02084196003304,15.92597473775934
64,007D_05457_030000,2018-11-26,23.3134,35.413,-169.3158,13.9643,2.3296,33.953,825906.8785,4:32:36.123898,A,D,-264.68645701935156,16.559977947389864,27.47771621670688
67,008A_12731_060000,2019-11-15,176.2581,-37.3004,-15.8475,14.0678,2.3296,33.1983,831327.6624,6:59:11.891105,B,A,-145.77563545439108,42.42180049357442,-27.323414760319082
69,008A_12836_151207,2019-11-15,177.43,-38.6082,-16.5744,14.068,2.3296,38.8516,884798.099,6:58:46.163762,B,A,-38.76176876076925,11.928723812880255,10.132382248057944
74,010D_12833_131313,2019-06-24,-69.2828,-38.3502,-163.3108,14.0681,2.3296,38.6731,883042.1081,9:48:38.533151,B,D,-100.54565007267092,-105.33014447786125,-65.41220730298855
75,011A_04903_171717,2020-10-22,109.2944,40.9692,-10.0719,13.9581,2.3296,39.4095,878980.9567,10:39:07.363710,A,A,0.0,5.356525188307314,67.15625609241611
76,011A_05533_131313,2016-09-25,110.7177,34.6683,-10.1997,13.9746,2.3296,33.798,878674.7858,10:36:57.337248,A,A,0.0,-12.607934545137736,54.926714289850345
77,011A_05732_131313,2020-10-22,111.157,32.677,-10.2551,13.9765,2.3296,39.5836,878980.9567,10:36:49.452326,A,A,0.0,-26.256654992312132,54.06557878100672
78,011A_05932_131313,2020-04-25,111.5818,30.6839,-10.3207,13.9832,2.3296,39.6243,878980.9567,10:36:07.844789,A,A,0.0,-19.929799369243362,52.696044430487376
88,012A_05244_131313,2016-09-01,85.4277,37.5615,-10.1058,13.9732,2.3296,33.8032,879289.291,12:16:28.930279,A,A,0.0,-14.201413108999098,20.880482836006852
91,012A_05443_131313,2016-09-01,85.9057,35.5747,-10.132,13.9778,2.3296,33.8404,879291.6205,12:15:55.837878,A,A,0.0,7.4314633042719205,108.80342503110052
92,012A_05642_131313,2016-09-01,86.3398,33.5828,-10.1901,13.9812,2.3296,33.8758,879289.291,12:15:22.734172,A,A,0.0,-35.49798318825881,-91.0438251446854
93,012A_05841_131313,2016-09-01,86.7692,31.591,-10.2547,13.9893,2.3296,33.9412,879291.6205,12:14:49.634577,A,A,0.0,12.789955840949068,55.81728746479631
95,012A_06241_131313,2016-09-01,87.5761,27.5961,-10.4216,13.9893,2.3296,33.9994,879291.6205,12:13:43.440525,A,A,57.46318389073336,23.022238649806848,72.9168279991785
96,012A_06441_131313,2016-09-01,87.9311,25.6812,-10.5201,13.9913,2.3296,34.0269,879291.6205,12:13:11.722263,A,A,-33.89101285040729,64.08868074906421,-58.284726057535934
99,012D_07075_080504,2017-03-12,-104.3856,19.0958,-169.1718,14.0087,2.3296,33.9497,878136.6569,12:50:36.073075,A,D,16.706829074243032,105.5842973609857,90.77686115615697
100,013A_05000_131313,2016-09-01,60.1548,39.9992,-10.0816,13.958,2.3296,33.7683,879595.462,13:55:54.254090,A,A,0.0,-1.4415124735245564,40.90304700648735
101,013A_05199_131313,2016-09-01,60.6121,38.0125,-10.1145,13.9623,2.3296,33.8104,879593.1325,13:55:21.155522,A,A,0.0,7.70624005126954,61.942800241545754
102,013A_05398_131313,2016-09-01,61.0752,36.0482,-10.1446,13.9676,2.3296,33.8529,879595.462,13:54:48.485538,A,A,0.0,4.773051843320515,59.67643708740771
104,013A_05797_131313,2016-09-13,61.9139,32.0353,-10.2806,13.9812,2.3296,33.8197,878458.8021,13:53:42.460677,A,A,0.0,1.9308395815267485,43.91061729311898
